Start,End,Open,High,Low,Close,Volume,Market
6/30/2012,7/1/2012,6.69,6.69,6.69,6.69,0,0
6/29/2012,6/30/2012,6.65,6.65,6.65,6.65,0,0
6/28/2012,6/29/2012,6.6059,6.6059,6.6059,6.6059,0,0
6/27/2012,6/28/2012,6.647,6.647,6.647,6.647,0,0
6/26/2012,6/27/2012,6.4195,6.4195,6.4195,6.4195,0,0
6/25/2012,6/26/2012,6.3048,6.3048,6.3048,6.3048,0,0
6/24/2012,6/25/2012,6.35,6.35,6.35,6.35,0,0
6/23/2012,6/24/2012,6.4285,6.4285,6.4285,6.4285,0,0
6/22/2012,6/23/2012,6.5478,6.5478,6.5478,6.5478,0,0
6/21/2012,6/22/2012,6.6801,6.6801,6.6801,6.6801,0,0
6/20/2012,6/21/2012,6.67,6.67,6.67,6.67,0,0
6/19/2012,6/20/2012,6.4988,6.4988,6.4988,6.4988,0,0
6/18/2012,6/19/2012,6.31,6.31,6.31,6.31,0,0
6/17/2012,6/18/2012,6.1638,6.1638,6.1638,6.1638,0,0
6/16/2012,6/17/2012,6.4,6.4,6.4,6.4,0,0
6/15/2012,6/16/2012,6.5,6.5,6.5,6.5,0,0
6/14/2012,6/15/2012,5.9541,5.9541,5.9541,5.9541,0,0
6/13/2012,6/14/2012,5.929,5.929,5.929,5.929,0,0
6/12/2012,6/13/2012,5.7,5.7,5.7,5.7,0,0
6/11/2012,6/12/2012,5.5747,5.5747,5.5747,5.5747,0,0
6/10/2012,6/11/2012,5.4683,5.4683,5.4683,5.4683,0,0
6/9/2012,6/10/2012,5.56,5.56,5.56,5.56,0,0
6/8/2012,6/9/2012,5.633,5.633,5.633,5.633,0,0
6/7/2012,6/8/2012,5.591,5.591,5.591,5.591,0,0
6/6/2012,6/7/2012,5.46,5.46,5.46,5.46,0,0
6/5/2012,6/6/2012,5.44,5.44,5.44,5.44,0,0
6/4/2012,6/5/2012,5.266,5.266,5.266,5.266,0,0
6/3/2012,6/4/2012,5.2051,5.2051,5.2051,5.2051,0,0
6/2/2012,6/3/2012,5.249,5.249,5.249,5.249,0,0
6/1/2012,6/2/2012,5.2748,5.2748,5.2748,5.2748,0,0
5/31/2012,6/1/2012,5.1801,5.1801,5.1801,5.1801,0,0
5/30/2012,5/31/2012,5.135,5.135,5.135,5.135,0,0
5/29/2012,5/30/2012,5.15,5.15,5.15,5.15,0,0
5/28/2012,5/29/2012,5.1358,5.1358,5.1358,5.1358,0,0
5/27/2012,5/28/2012,5.139,5.139,5.139,5.139,0,0
5/26/2012,5/27/2012,5.1032,5.1032,5.1032,5.1032,0,0
5/25/2012,5/26/2012,5.1455,5.1455,5.1455,5.1455,0,0
5/24/2012,5/25/2012,5.119,5.119,5.119,5.119,0,0
5/23/2012,5/24/2012,5.1397,5.1397,5.1397,5.1397,0,0
5/22/2012,5/23/2012,5.0988,5.0988,5.0988,5.0988,0,0
5/21/2012,5/22/2012,5.0998,5.0998,5.0998,5.0998,0,0
5/20/2012,5/21/2012,5.09,5.09,5.09,5.09,0,0
5/19/2012,5/20/2012,5.0995,5.0995,5.0995,5.0995,0,0
5/18/2012,5/19/2012,5.118,5.118,5.118,5.118,0,0
5/17/2012,5/18/2012,5.0998,5.0998,5.0998,5.0998,0,0
5/16/2012,5/17/2012,5.0887,5.0887,5.0887,5.0887,0,0
5/15/2012,5/16/2012,5.035,5.035,5.035,5.035,0,0
5/14/2012,5/15/2012,5.0059,5.0059,5.0059,5.0059,0,0
5/13/2012,5/14/2012,4.93,4.93,4.93,4.93,0,0
5/12/2012,5/13/2012,4.9462,4.9462,4.9462,4.9462,0,0
5/11/2012,5/12/2012,4.96,4.96,4.96,4.96,0,0
5/10/2012,5/11/2012,4.85,4.85,4.85,4.85,0,0
5/9/2012,5/10/2012,5.0437,5.0437,5.0437,5.0437,0,0
5/8/2012,5/9/2012,5.05,5.05,5.05,5.05,0,0
5/7/2012,5/8/2012,5.06,5.06,5.06,5.06,0,0
